Watershed_designation,Fire_treatment,Year,Plot_number,Transect_number,Grass_cover,Shrub_cover
1d,annual,1984,1,1,132.5,0
1d,annual,1984,2,1,148.5,0
1d,annual,1984,3,1,165,0
1d,annual,1984,4,1,140.5,0
1d,annual,1984,5,1,147.5,0
1d,annual,1984,6,2,132.5,0
1d,annual,1984,7,2,163,0
1d,annual,1984,8,2,158,0
1d,annual,1984,9,2,191,0
1d,annual,1984,10,2,153.5,0
1d,annual,1984,11,3,142.5,0
1d,annual,1984,12,3,165,0
1d,annual,1984,13,3,155,0
1d,annual,1984,14,3,142.5,0
1d,annual,1984,15,3,195,0
1d,annual,1984,16,4,147.5,0
1d,annual,1984,17,4,155,0
1d,annual,1984,18,4,160,0
1d,annual,1984,19,4,142.5,0
1d,annual,1984,20,4,165,0
1d,annual,1985,1,1,202.5,0
1d,annual,1985,2,1,183.5,0
1d,annual,1985,3,1,195,0
1d,annual,1985,4,1,213.5,0
1d,annual,1985,5,1,217.5,0
1d,annual,1985,6,2,150,0
1d,annual,1985,7,2,180.5,0
1d,annual,1985,8,2,160,0
1d,annual,1985,9,2,161,0
1d,annual,1985,10,2,172.5,0
1d,annual,1985,11,3,217.5,0
1d,annual,1985,12,3,182.5,0
1d,annual,1985,13,3,220,0
1d,annual,1985,14,3,190,0
1d,annual,1985,15,3,212.5,0
1d,annual,1985,16,4,172.5,0
1d,annual,1985,17,4,202.5,0
1d,annual,1985,18,4,190,0
1d,annual,1985,19,4,160,0
1d,annual,1985,20,4,182.5,0
1d,annual,1986,1,1,157.5,0
1d,annual,1986,2,1,172.5,0
1d,annual,1986,3,1,190,0
1d,annual,1986,4,1,172.5,0
1d,annual,1986,5,1,212.5,0
1d,annual,1986,6,2,157.5,0
1d,annual,1986,7,2,101,0
1d,annual,1986,8,2,142.5,0
1d,annual,1986,9,2,172.5,0
1d,annual,1986,10,2,112.5,0
1d,annual,1986,11,3,95,0
1d,annual,1986,12,3,132.5,0
1d,annual,1986,13,3,160,0
1d,annual,1986,14,3,172.5,0
1d,annual,1986,15,3,112.5,0
1d,annual,1986,16,4,125,0
1d,annual,1986,17,4,95,0
1d,annual,1986,18,4,172.5,0
1d,annual,1986,19,4,172.5,0
1d,annual,1986,20,4,160,0
1d,annual,1987,1,1,132.5,0
1d,annual,1987,2,1,118.5,0
1d,annual,1987,3,1,142.5,0
1d,annual,1987,4,1,107.5,0
1d,annual,1987,5,1,125,0
1d,annual,1987,6,2,110,0
1d,annual,1987,7,2,110,0
1d,annual,1987,8,2,142.5,0
1d,annual,1987,9,2,160,0
1d,annual,1987,10,2,95,0
1d,annual,1987,11,3,101,0
1d,annual,1987,12,3,115,0
1d,annual,1987,13,3,130,0
1d,annual,1987,14,3,125,0
1d,annual,1987,15,3,142.5,0
1d,annual,1987,16,4,107,0
1d,annual,1987,17,4,125,0
1d,annual,1987,18,4,136,0
1d,annual,1987,19,4,113.5,0
1d,annual,1987,20,4,142.5,0
1d,annual,1988,1,1,145,0
1d,annual,1988,2,1,136,0
1d,annual,1988,3,1,96,0
1d,annual,1988,4,1,131,0
1d,annual,1988,5,1,118.5,0
1d,annual,1988,6,2,92.5,0
1d,annual,1988,7,2,80,0
1d,annual,1988,8,2,160,0
1d,annual,1988,9,2,125,0
1d,annual,1988,10,2,95,0
1d,annual,1988,11,3,136,0
1d,annual,1988,12,3,160,0
1d,annual,1988,13,3,136,0
1d,annual,1988,14,3,165,0
1d,annual,1988,15,3,130,0
1d,annual,1988,16,4,161,0
1d,annual,1988,17,4,165,0
1d,annual,1988,18,4,131,0
1d,annual,1988,19,4,183.5,0
1d,annual,1988,20,4,165,0
1d,annual,1989,1,1,110.5,0
1d,annual,1989,2,1,66,0
1d,annual,1989,3,1,160,0
1d,annual,1989,4,1,113.5,0
1d,annual,1989,5,1,95,0
1d,annual,1989,6,2,115,0
1d,annual,1989,7,2,104,0
1d,annual,1989,8,2,136,0
1d,annual,1989,9,2,130,0
1d,annual,1989,10,2,130,0
1d,annual,1989,11,3,102,0
1d,annual,1989,12,3,118.5,0
1d,annual,1989,13,3,125,0
1d,annual,1989,14,3,127.5,0
1d,annual,1989,15,3,143.5,0
1d,annual,1989,16,4,172.5,0
1d,annual,1989,17,4,125,0
1d,annual,1989,18,4,136,0
1d,annual,1989,19,4,96,0
1d,annual,1989,20,4,125,0
1d,annual,1990,1,1,175,0
1d,annual,1990,2,1,154.5,0
1d,annual,1990,3,1,142.5,0
1d,annual,1990,4,1,177.5,0
1d,annual,1990,5,1,154.5,0
1d,annual,1990,6,2,128.5,0
1d,annual,1990,7,2,121,0
1d,annual,1990,8,2,136,0
1d,annual,1990,9,2,142.5,0
1d,annual,1990,10,2,66,0
1d,annual,1990,11,3,118.5,0
1d,annual,1990,12,3,101,0
1d,annual,1990,13,3,158,0
1d,annual,1990,14,3,83.5,0
1d,annual,1990,15,3,107,0
1d,annual,1990,16,4,110.5,0
1d,annual,1990,17,4,107.5,0
1d,annual,1990,18,4,125,0
1d,annual,1990,19,4,161,0
1d,annual,1990,20,4,158,0
1d,annual,1991,1,1,93,0
1d,annual,1991,2,1,95.5,0
1d,annual,1991,3,1,84.5,0
1d,annual,1991,4,1,118.5,0
1d,annual,1991,5,1,118.5,0
1d,annual,1991,6,2,103.5,0
1d,annual,1991,7,2,92.5,0
1d,annual,1991,8,2,51.5,0
1d,annual,1991,9,2,113.5,0
1d,annual,1991,10,2,99,0
1d,annual,1991,11,3,95.5,0
1d,annual,1991,12,3,89.5,0
1d,annual,1991,13,3,110.5,0
1d,annual,1991,14,3,113.5,0
1d,annual,1991,15,3,118.5,0
1d,annual,1991,16,4,54.5,0
1d,annual,1991,17,4,84.5,0
1d,annual,1991,18,4,72,0
1d,annual,1991,19,4,72,0
1d,annual,1991,20,4,72,0
1d,annual,1992,1,1,62.5,0
1d,annual,1992,2,1,77.5,0
1d,annual,1992,3,1,95,0
1d,annual,1992,4,1,77.5,0
1d,annual,1992,5,1,77.5,0
1d,annual,1992,6,2,62.5,0
1d,annual,1992,7,2,66,0
1d,annual,1992,8,2,77.5,0
1d,annual,1992,9,2,84.5,0
1d,annual,1992,10,2,77.5,0
1d,annual,1992,11,3,66,0
1d,annual,1992,12,3,77.5,0
1d,annual,1992,13,3,77.5,0
1d,annual,1992,14,3,95,0
1d,annual,1992,15,3,60,0
1d,annual,1992,16,4,95,0
1d,annual,1992,17,4,60,0
1d,annual,1992,18,4,60,0
1d,annual,1992,19,4,77.5,0
1d,annual,1992,20,4,77.5,0
1d,annual,1993,1,1,80,0
1d,annual,1993,2,1,95,0
1d,annual,1993,3,1,95,0
1d,annual,1993,4,1,77.5,0
1d,annual,1993,5,1,77.5,0
1d,annual,1993,6,2,80,0
1d,annual,1993,7,2,66,0
1d,annual,1993,8,2,95,0
1d,annual,1993,9,2,62.5,0
1d,annual,1993,10,2,95,0
1d,annual,1993,11,3,83.5,0
1d,annual,1993,12,3,77.5,0
1d,annual,1993,13,3,95,0
1d,annual,1993,14,3,95,0
1d,annual,1993,15,3,77.5,0
1d,annual,1993,16,4,95,0
1d,annual,1993,17,4,77.5,0
1d,annual,1993,18,4,95,0
1d,annual,1993,19,4,125,0
1d,annual,1993,20,4,107.5,0
1d,annual,1994,1,1,83.5,0
1d,annual,1994,2,1,95,0
1d,annual,1994,3,1,95,0
1d,annual,1994,4,1,77.5,0
1d,annual,1994,5,1,77.5,0
1d,annual,1994,6,2,80,0
1d,annual,1994,7,2,66,0
1d,annual,1994,8,2,125,0
1d,annual,1994,9,2,77.5,0
1d,annual,1994,10,2,95,0
1d,annual,1994,11,3,83.5,0
1d,annual,1994,12,3,96,0
1d,annual,1994,13,3,95,0
1d,annual,1994,14,3,112.5,0
1d,annual,1994,15,3,77.5,0
1d,annual,1994,16,4,112.5,0
1d,annual,1994,17,4,95,0
1d,annual,1994,18,4,95,0
1d,annual,1994,19,4,107.5,0
1d,annual,1994,20,4,107.5,0
1d,annual,1995,1,1,131,0
1d,annual,1995,2,1,125,0
1d,annual,1995,3,1,125,0
1d,annual,1995,4,1,125,0
1d,annual,1995,5,1,107.5,0
1d,annual,1995,6,2,110,0
1d,annual,1995,7,2,96,0
1d,annual,1995,8,2,125,0
1d,annual,1995,9,2,95,0
1d,annual,1995,10,2,125,0
1d,annual,1995,11,3,112.5,0
1d,annual,1995,12,3,107.5,0
1d,annual,1995,13,3,107.5,0
1d,annual,1995,14,3,95,0
1d,annual,1995,15,3,77.5,0
1d,annual,1995,16,4,95,0
1d,annual,1995,17,4,95,0
1d,annual,1995,18,4,95,0
1d,annual,1995,19,4,125,0
1d,annual,1995,20,4,125,0
1d,annual,1996,1,1,131,0
1d,annual,1996,2,1,95,0
1d,annual,1996,3,1,95,0
1d,annual,1996,4,1,95,0
1d,annual,1996,5,1,125,0
1d,annual,1996,6,2,92.5,0
1d,annual,1996,7,2,96,0
1d,annual,1996,8,2,125,0
1d,annual,1996,9,2,125,0
1d,annual,1996,10,2,125,0
1d,annual,1996,11,3,83.5,0
1d,annual,1996,12,3,107.5,0
1d,annual,1996,13,3,125,0
1d,annual,1996,14,3,125,0
1d,annual,1996,15,3,77.5,0
1d,annual,1996,16,4,95,0
1d,annual,1996,17,4,95,0
1d,annual,1996,18,4,95,0
1d,annual,1996,19,4,125,0
1d,annual,1996,20,4,125,0
1d,annual,1997,1,1,131,0
1d,annual,1997,2,1,95,0
1d,annual,1997,3,1,95,0
1d,annual,1997,4,1,95,0
1d,annual,1997,5,1,125,0
1d,annual,1997,6,2,92.5,0
1d,annual,1997,7,2,96,0
1d,annual,1997,8,2,125,0
1d,annual,1997,9,2,125,0
1d,annual,1997,10,2,125,0
1d,annual,1997,11,3,83.5,0
1d,annual,1997,12,3,107.5,0
1d,annual,1997,13,3,125,0
1d,annual,1997,14,3,95,0
1d,annual,1997,15,3,77.5,0
1d,annual,1997,16,4,95,0
1d,annual,1997,17,4,95,0
1d,annual,1997,18,4,95,0
1d,annual,1997,19,4,125,0
1d,annual,1997,20,4,125,0
1d,annual,1998,1,1,131,0
1d,annual,1998,2,1,95,0
1d,annual,1998,3,1,95,0
1d,annual,1998,4,1,95,0
1d,annual,1998,5,1,125,0
1d,annual,1998,6,2,92.5,0
1d,annual,1998,7,2,96,0
1d,annual,1998,8,2,125,0
1d,annual,1998,9,2,125,0
1d,annual,1998,10,2,125,0
1d,annual,1998,11,3,83.5,0
1d,annual,1998,12,3,107.5,0
1d,annual,1998,13,3,125,0
1d,annual,1998,14,3,95,0
1d,annual,1998,15,3,77.5,0
1d,annual,1998,16,4,77.5,0
1d,annual,1998,17,4,95,0
1d,annual,1998,18,4,95,0
1d,annual,1998,19,4,125,0
1d,annual,1998,20,4,125,0
1d,annual,1999,1,1,136,0
1d,annual,1999,2,1,125,0
1d,annual,1999,3,1,107.5,0
1d,annual,1999,4,1,125,0
1d,annual,1999,5,1,125,0
1d,annual,1999,6,2,110,0
1d,annual,1999,7,2,96,0
1d,annual,1999,8,2,125,0
1d,annual,1999,9,2,125,0
1d,annual,1999,10,2,125,0
1d,annual,1999,11,3,113.5,0
1d,annual,1999,12,3,107.5,0
1d,annual,1999,13,3,125,0
1d,annual,1999,14,3,95,0
1d,annual,1999,15,3,107.5,0
1d,annual,1999,16,4,95,0
1d,annual,1999,17,4,95,0
1d,annual,1999,18,4,125,0
1d,annual,1999,19,4,125,0
1d,annual,1999,20,4,95,0
1d,annual,2000,1,1,131,0
1d,annual,2000,2,1,125,0
1d,annual,2000,3,1,107.5,0
1d,annual,2000,4,1,125,0
1d,annual,2000,5,1,125,0
1d,annual,2000,6,2,127.5,0
1d,annual,2000,7,2,113.5,0
