"TP.ugL"
"A1-1    " 41.2
"A1-2    " 41.8
"A1-3    " 43.6
"A1-4    " 40.1
"A1-5    " 43.6
"A1-6    " 43
"A1-7    " 43.6
"A1-8    " 36.5
"A1-9    " 34.1
"A2-1    " 56.4
"A2-2    " 60.5
"A2-3    " 55.9
"A2-4    " 70.2
"A2-5    " 61.1
"A2-6    " 85.8
"A2-7    " 64.5
"A2-8    " 55.3
"A2-9    " 54.1
"A3-1    " 39
"A3-2    " 13.7
"A3-3    " 18.8
"A3-4    " 15.8
"A3-5    " 46.8
"A3-6    " 21.4
"A3-7    " 28.1
"A3-8    " 21.9
"A3-9    " 25.5
"A5-1    " 7.8
"A5-2    " 3.5
"A5-3    " 3.5
"A5-4    " 7.8
"A5-5    " 6.5
"A5-6    " 3.5
"A5-7    " 9.1
"A5-8    " 9.7
"A5-9    " 6.5
"C1-1    " 51.8
"C1-2    " 40.1
"C1-3    " 82.6
"C1-4    " 40.1
"C1-5    " 43.3
"C1-6    " 58.2
"C1-7    " 77.1
"C1-8    " 85.3
"C1-9    " 80.9
"C2-1    " 66.8
"C2-2    " 38.4
"C2-3    " 41
"C2-4    " 29.6
"C2-5    " 50.4
"C2-6    " 35.8
"C2-7    " 31.2
"C2-8    " 32.7
"C2-9    " 33.3
"C3-1    " 14.6
"C3-2    " 23.9
"C3-3    " 10.5
"C3-4    " 21.8
"C3-5    " 16.7
"C3-6    " 28.5
"C3-7    " 37.3
"C3-8    " 8.5
"C3-9    " 15.4
"C4-1    " 14.5
"C4-2    " 12
"C4-3    " 10.9
"C4-4    " 9.6
"C4-5    " 14.6
"C4-6    " 23.2
"C4-7    " 6.5
"C4-8    " 12.1
"C4-9    " 12.6
"C5-1    " 8
"C5-2    " 6.8
"C5-3    " 4.8
"C5-4    " 9.2
"C5-5    " 7.3
"C5-6    " 7.2
"C5-7    " 6.1
"C5-8    " 10.5
"C5-9    " 13.6
"C6-1    " 11.1
"C6-2    " 9
"C6-3    " 10.9
"C6-4    " 3.3
"C6-5    " 5.3
"C6-6    " 7.5
"C6-7    " 2.5
"C6-8    " 9.6
"C6-9    " 8.4
"D2-1    " 126.2
"D2-2    " 53
"D2-3    " 104.8
"D2-4    " 147.4
"D2-5    " 169.5
"D2-6    " 129.1
"D2-7    " 118
"D2-8    " 114
"D2-9    " 156.9
"D3-1    " 56.9
"D3-2    " 55.8
"D3-3    " 72.6
"D3-4    " 59.6
"D3-5    " 50.9
"D3-6    " 88.1
"D3-7    " 91.9
"D3-8    " 30.6
"D3-9    " 54.2
"D4-1    " 21.4
"D4-2    " 30.1
"D4-3    " 26
"D4-4    " 32.2
"D4-5    " 29.1
"D4-6    " 29.1
"D4-7    " 28.1
"D4-8    " 27.6
"D4-9    " 29.1
"D5-1    " 18.4
"D5-2    " 17.4
"D5-3    " 12.7
"D5-4    " 18
"D5-5    " 15.8
"D5-6    " 14.9
"D5-7    " 15.3
"D5-8    " 18.3
"D5-9    " 17
