attributeName,attributeDefinition,unit,attributeType,driverAttribute,responseAttribute,treatmentAttribute,siteAttribute,geospatialAttribute,ecologicalGradientAttribute,temporalAttribute
Depth,Depth of soil core sample,cm,,,,,,,TRUE,
Age,Calibrated age of sample,"year before present, where present == YYYY",,,,,,,,TRUE
AchSp2,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AchSub,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpAcu,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpSub,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpGal3,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpCar,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpCof,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpCoS,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpMic,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpPse,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AmpSp7,Diatom species proportion of sample,proportion,,,TRUE,,,,,
AnoSph,Diatom species proportion of sample,proportion,,,TRUE,,,,,
CalSp2,Diatom species proportion of sample,proportion,,,TRUE,,,,,
CamCly,Diatom species proportion of sample,proportion,,,TRUE,,,,,
ChaSp1,Diatom species proportion of sample,proportion,,,TRUE,,,,,
Cra1,Diatom species proportion of sample,proportion,,,TRUE,,,,,
DipSp2,Diatom species proportion of sample,proportion,,,TRUE,,,,,
Falpse,Diatom species proportion of sample,proportion,,,TRUE,,,,,
FracSu,Diatom species proportion of sample,proportion,,,TRUE,,,,,
PseGeo,Diatom species proportion of sample,proportion,,,TRUE,,,,,
FraSop,Diatom species proportion of sample,proportion,,,TRUE,,,,,
FraSp5,Diatom species proportion of sample,proportion,,,TRUE,,,,,
FraSp1,Diatom species proportion of sample,proportion,,,TRUE,,,,,
FraS2b,Diatom species proportion of sample,proportion,,,TRUE,,,,,
FraSp4,Diatom species proportion of sample,proportion,,,TRUE,,,,,
FraSp6,Diatom species proportion of sample,proportion,,,TRUE,,,,,
PseDia,Diatom species proportion of sample,proportion,,,TRUE,,,,,
HyaHus,Diatom species proportion of sample,proportion,,,TRUE,,,,,
SynIsa,Diatom species proportion of sample,proportion,,,TRUE,,,,,
MasBra,Diatom species proportion of sample,proportion,,,TRUE,,,,,
MasLan,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavAtw,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavDar,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavLag,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavGal,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavIsm,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavWil,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavSp1,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavSp2,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavSp3,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavIsd,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NavIsf,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitAmp,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitcVa,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitVit,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitCom,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitCon,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitFru,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitMic,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitNan,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitPal,Diatom species proportion of sample,proportion,,,TRUE,,,,,
NitSp7,Diatom species proportion of sample,proportion,,,TRUE,,,,,
ParSul,Diatom species proportion of sample,proportion,,,TRUE,,,,,
ParSp1,Diatom species proportion of sample,proportion,,,TRUE,,,,,
ParS1b,Diatom species proportion of sample,proportion,,,TRUE,,,,,
PlaAto,Diatom species proportion of sample,proportion,,,TRUE,,,,,
RhoSp5,Diatom species proportion of sample,proportion,,,TRUE,,,,,
SemPus,Diatom species proportion of sample,proportion,,,TRUE,,,,,
StaPun,Diatom species proportion of sample,proportion,,,TRUE,,,,,
UnkSp1,Diatom species proportion of sample,proportion,,,TRUE,,,,,
Ti,Ti influx (µg/cm^2/yr). Sampled 1-cm down from diatom data and linearly interpolated to same sampling intervals prior to analyses.,µg,,,,,,,,
d13C,Stable carbon isotope data (per mille),‰,,,,,,,,
