Depth,Age,AchSp2,AchSub,AmpAcu,AmpSub,AmpGal3,AmpCar,AmpCof,AmpCoS,AmpMic,AmpPse,AmpSp7,AnoSph,CalSp2,CamCly,ChaSp1,Cra1,DipSp2,Falpse,FracSu,PseGeo,FraSop,FraSp5,FraSp1,FraS2b,FraSp4,FraSp6,PseDia,HyaHus,SynIsa,MasBra,MasLan,NavAtw,NavDar,NavLag,NavGal,NavIsm,NavWil,NavSp1,NavSp2,NavSp3,NavIsd,NavIsf,NitAmp,NitcVa,NitVit,NitCom,NitCon,NitFru,NitMic,NitNan,NitPal,NitSp7,ParSul,ParSp1,ParS1b,PlaAto,RhoSp5,SemPus,StaPun,UnkSp1,Ti,d13C
21,13.46594343,0,0,0.2018,0,0,0.4094,0,0,0,0,0,0.0497,0,0.0175,0,0,0,0.0088,0,0,0,0,0,0,0,0,0.0058,0.0058,0.0263,0,0,0,0,0,0.1667,0,0,0,0,0.0702,0,0,0,0,0,0,0.0146,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,NA,-10.82774014
25,51.53017073,0.0038,0,0.2069,0,0,0.387,0.0038,0,0,0,0,0.0421,0,0.0038,0,0,0,0.023,0.0038,0.0038,0,0,0,0,0,0,0,0.0153,0.0077,0,0,0,0,0,0.2031,0,0,0,0,0,0,0,0.0077,0,0,0.0192,0.0613,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0.269606745,-16.28901802
29,89.39391039,0,0,0.1366,0,0,0.5122,0,0,0,0,0,0.0293,0,0.0195,0,0,0,0.0098,0,0.0341,0,0,0,0,0,0,0.0146,0,0,0,0,0,0,0,0.1561,0,0,0,0,0.0195,0,0,0.0024,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410371201,-11.51110811
33,126.9849834,0,0,0.236,0.0147,0,0.3068,0,0,0,0,0,0.0177,0,0.0059,0,0,0,0.0855,0.0177,0.0206,0,0,0,0,0,0,0.0029,0.0029,0.0206,0,0,0.0029,0,0.0029,0.1622,0,0,0,0,0.0177,0,0,0.0354,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0.692159896,-14.30438012
37,164.2300539,0,0,0.3501,0,0,0.1569,0.0504,0,0,0,0,0.0084,0,0,0,0,0,0.1625,0.0112,0.0112,0,0,0,0,0,0,0.0056,0,0.0112,0,0,0,0,0,0.0504,0,0,0,0,0.0392,0,0,0.0028,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0,0.454253261,-13.32660888
41,201.055505,0,0,0.2467,0.01,0,0.3633,0.0167,0,0,0,0,0.0133,0,0.0067,0,0,0,0.0633,0.0333,0.0233,0,0,0,0,0,0,0.0333,0,0,0,0,0,0,0,0.12,0,0,0,0,0.0067,0,0,0.0133,0,0,0.01,0,0.0133,0.0167,0,0.0067,0,0,0,0.0033,0,0,0,0,0,0.356481141,-11.29744443
45,237.3887601,0,0.0086,0.1328,0,0,0.5268,0,0,0,0,0,0.0214,0,0,0,0,0,0.0257,0,0,0,0,0,0,0,0,0,0.0642,0,0,0,0,0,0,0.0985,0,0,0,0,0.0257,0,0.0043,0,0,0,0.0257,0.0021,0.0086,0,0,0,0,0,0.0086,0,0,0,0,0,0,0.363224539,-10.86837773
49,273.1564937,0,0,0.1613,0,0,0.6194,0,0,0,0,0,0.0258,0,0.0065,0,0,0,0.0194,0,0,0,0,0,0,0,0,0,0.0452,0,0,0,0,0,0,0.0581,0,0,0,0,0,0,0,0.0129,0,0,0,0.0258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258830397,-10.53523672
53,308.2855637,0,0,0.6239,0,0,0.0776,0.009,0,0,0,0,0.0119,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.0269,0,0,0,0,0,0,0.1731,0,0,0,0,0.0119,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0.006,0,0.170457062,-9.975167825
57,342.7031072,0,0,0.2848,0.0127,0,0.307,0.0063,0,0,0,0,0.0411,0,0.0759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1203,0,0,0,0,0,0,0.1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155997888,-11.18185329
